value,manufacturer,location,date_created_or_last_modified
1222,"Tough Tech Ltd.","Whitchurch, Shropshire  UK",2021-12-03
1223,"Toyo Agricultural Machinery Manufacturing Co., Ltd.","Obihiro, Japan",2021-12-03
1224,"Neuser Elektrotechnik GmbH","Birkenbeul, Germany",2021-12-03
1225,"SeedMaster Manufacturing Ltd.","Emerald Park, SK   Canada",2021-12-09
1226,"Piippo Hydraulic","Kiuruvesi, Finland",2021-12-09
1227,"YAHATA Co., Ltd.","YaoCity, Osaka  Japan",2021-12-09
1228,"INTILION GmbH","Zwickau, Germany",2021-12-13
1229,"Arcon Designs, LLC","Bloomington, IN   USA",2021-12-23
1230,"Nick Abbey Digital Agriculture Ltd","Scarborough, Yorkshire   UK",2021-12-16
1231,"Excidor AB","Bollnäs, Sweden",2021-12-23
1232,"Treffler Maschinenbau GmbH & Co. KG","Pöttmes-Echsheim, Germany",2021-12-29
1233,"nke Marine Electronics","Hennebont, France",2021-12-29
1234,"American Battery Solutions","Lake Orion, MI   USA",2022-01-09
1235,"NESAN Automotive Inc.","Izmir, Turkey",2022-01-17
1236,Agrosystem,"Ribeirao Preto, Brazil",2022-01-17
1237,"Changzhou Lambda Electronic Co., Ltd","Changzhou, China",2022-01-17
1238,"Honda Electronics Co., Ltd","Toyohashi, Aichi   Japan",2022-01-21
1239,"SuperTrack Aps","Egaa, Denmark",2022-01-21
1240,TiMOTION,"New Taipei City, Taiwan",2022-01-21
1241,"Ineo Systrans","Achères, France",2022-01-28
1242,"Super Start Batteries","Lansvale, NSW   Australia",2022-01-28
1243,"AvMap S.r.l.","Carrara (MS), Italy",2022-01-28
1244,"Planti Center","Marialva, Brazil",2022-02-06
1245,"Raritan Engineering Company, Inc","Millville, NJ   USA",2022-02-14
1246,"Rother Industries & Technology","Cordoba, Spain",2022-02-14
1247,GRIFA,"Pfullendorf, Germany",2022-02-14
1248,"O.M.F.B. S.p.A. Hydraulic Components","Provaglio d'Iseo (BS), Italy",2022-02-18
1249,"Integrated Power Solutions AG","Port, Switzerland",2022-03-06
1250,ELHO,"Pännäinen, Finland",2022-03-29
1251,"Valmet Automotive EV Power Ltd","Uusikaupunki, Finland",2022-04-11
1252,"APV - Technische Produkte GmbH","Hötzelsdorf, Austria",2022-04-11
1253,"Trafag AG","Bubikon, Switzerland",2022-04-11
1254,"ARADEX AG","Lorch, Germany",2022-04-11
1255,"Altec Industries, Inc.","Birmingham, AL   USA",2022-04-12
1256,"Dimensions Agri Technologies AS","Oslo, Norway",2022-04-12
1257,KOSTAL,"Hagen, Germany",2022-04-12
1258,"AGC Technologies","Madrid, Spain",2022-04-12
1259,"Grayson Automotive Services Limited","Birmingham, West Midlands  UK",2022-04-12
1260,"Interactive Technologies, Inc.","Olathe, KS   USA",2022-04-12
1261,AgXeed,"Oirlo, The Netherlands",2022-04-15
1262,"Fort Robotics","Philadelphia, PA   USA",2022-04-15
1263,"BOS Balance of Storage Systems AG","Neu-Ulm, Germany",2022-04-25
1264,Microelect,"Villa Gobernador Gálvez, Argentina",2022-04-25
1265,"IPETRONIK GmbH & Co KG","Baden-Baden, Germany",2022-05-02
1266,"Hyundai Doosan Infracore","Incheon, Republic of Korea",2022-05-02
1267,"Wacker Neuson SE","Munich, Germany",2022-05-02
1268,"Back 40 Precision Inc.","Baldwin, IL   USA",2022-05-04
1269,"VIS Hydraulics s.r.l.","Pavullo Nel Frignano, Italy",2022-05-09
1270,"Versalift Denmark A/S","Farsø, Denmark",2022-05-09
1271,"Raven Connected","Ottawa, ON   Canada",2022-05-14
1272,"Samsara Inc.","San Francisco, CA   USA",2022-05-17
1273,"Clearflame Engines Inc","Geneva, IL   USA",2022-05-22
1274,"LDL Technology","Ramonville-Saint-Agne, France",2022-05-22
1275,"O.M.P. Officine Mazzocco Pagnoni S.r.l.","Funo, Italy",2022-05-22
1276,"Aspin Kemp & Associates","Montague, PE   Canada",2022-06-10
1277,"BMZ Germany GmbH","Karlstein am Main, Germany",2022-06-10
1278,"Comrod Communication Group","Stavanger, Norway",2022-06-21
1279,"Ognibene Power S.p.A.","Reggio Emilia (RE), Italy",2022-06-21
1280,"SANTEST CO., LTD.","Osaka-shi, Osaka  Japan",2022-07-05
1281,iQuus,"Neerijnen, The Netherlands",2022-07-05
1282,"COTEK ELECTRONIC IND. CO., LTD","Taoyuan City, Taiwan",2022-07-07
1283,"LTG Tech","Metz, France",2022-07-18
1284,"Robot Makers GmbH","Kaiserslautern, Germany",2022-07-18
1285,"Graco Inc.","Minnepolis, MN   USA",2022-07-18
1286,"NEXAT GmbH","Rieste, Germany",2022-07-21
1287,"Spartan Radar","Los Alamitos, CA   USA",2022-08-03
1288,"ANELLO Photonics","Santa Clara, CA   USA",2022-08-03
1289,"Loadrite (Auckland) Ltd.","Auckland, New Zealand",2022-08-03
1290,"WaveTamer Partners LLC","Greensboro, NC   USA",2022-08-03
1291,"Forward Thinking Systems LLC","Jericho, NY   USA",2022-08-08
1292,"SUMITOMO CONSTRUCTION MACHINERY Co., Ltd.","Tokyo, Japan",2022-08-09
1293,POSITAL,"Aachen, Germany",2022-08-18
1294,"TR-Electronic GmbH","Trossingen, Germany",2022-09-01
1295,"SIP d.d.","Šempeter v Savinjski Dolini, Slovenia",2022-09-01
1296,Hexagon,"Florianópolis, Brazil",2022-09-14
1297,"Micro-Epsilon Messtechnik GmbH & Co. KG","Ortenburg, Germany",2022-09-14
1298,"SFOGGIA Agriculture Division S.r.l.","Montebelluna, Italy",2022-09-14
1299,"Energy Solutions","Rochester, Kent   UK",2022-09-15
1300,"Watt Fuel Cell Corporation","Mount Pleasant, PA   USA",2022-09-15
1301,"Tecumseh do Brasil Ltda","São Carlos, São Paulo   Brazil",2022-09-23
1302,ProMariner,"Auburn, NH   USA",2022-09-23
1303,"Carbon Bee AgTech","Valence, France",2022-10-19
1304,"Palfinger Europe GmbH","Salzburg, Austria",2022-10-19
1305,"dragonfly Energy","Reno, NV  USA",2022-10-22
1306,"Koden Electronics Co., Ltd.","Tokyo, Japan",2022-10-22
1307,"Smart AG Systems","Yeerongpilly, QLD  Australia",2022-10-31
1308,Agtecnic,"Brisbane, QLD  Australia",2022-11-04
1309,"Shanghai Zhichuan Electronic Tech Co., Ltd.","Shanghai, China",2022-11-04
1310,"LPL Systems (formerly Loughborough Projects Ltd)","Loughborough, Leicestershire   UK",2022-11-19
1311,"Humphree AB","Gothenburg, Sweden",2022-11-22
1312,"Control Devices Pty Ltd","Alexandria, NSW  Australia",2022-12-01
1313,"United States Army - Ground Vehicle Systems Center","Warren, MI   USA",2022-12-05
1314,"Newton Crouch Company, LLC","Griffin, GA   USA",2022-12-07
1315,"SMPC Technologies Ltd.","Burnaby, BC   Canada",2022-12-07
1316,"Hinkley Yachts","Portsmouth, RI   USA",2022-12-07
1317,"GMM - Global Maritime Management GmbH","Trittau, Germany",2022-12-07
1318,"Atlis Motor Vehicles","Mesa, AZ   USA",2022-12-12
1319,"I/O Controls Corporation","Azusa, CA   USA",2022-12-12
1320,"Triskel Marine Ltd","Hayle, Cornwall   UK",2022-12-19
1321,"PATLITE Corporation","Osaka, Japan",2022-12-19
1322,Movimatica,"Cuneo, Italy",2023-01-03
1323,"Briter Products, Inc.","South Bend, IN   USA",2023-01-03
1324,"Bourgault Industries","Saint Brieux, SK   Canada",2023-01-14
1325,"OPW (formerly BASE Engineering Inc.)","Hamilton, OH USA",2025-04-09
1326,"HBC-radiomatic GmbH","Crailsheim, Germany",2023-01-14
1327,"Frans Vervaet B.V.","Biervliet, The Netherlands",2023-01-20
1328,"PerPlant ApS","København K, Denmark",2023-01-20
1329,"IDM S.r.l.","Montebelluna, Italy",2023-01-20
1330,"Warwick Control Technologies","Halesowen, West Midlands   UK",2023-01-20
1331,"Dolphin Charger","Annecy, France",2023-01-20
1332,"Fairbanks Scales, Inc.","Overland Park, KS   USA",2023-01-26
1333,"xFarm Technologies SA","Manno, Switzerland",2023-02-17
1334,"Greer Company","Jenks, OK   USA",2023-01-27
1335,CPDEVICE,"Beijing, China",2023-02-03
1336,"Aegis Power Systems, Inc.","Murphy, NC   USA",2023-02-03
1337,"Barnacle Systems Inc.","Victoria, BC   Canada",2023-02-22
1338,"Volta Trucks AB","Stockholm, Sweden",2023-02-24
1339,"Tillett and Hague Technology Limited","Bedford, Bedfordshire  UK",2023-02-23
1340,"ORELTEK Elektronik ve Yazılım Teknolojileri","Serdivan, Turkey",2023-02-23
1341,"Ag Express Electronics","Des Moines, IA   USA",2023-03-04
1342,"DKE-Data GmbH & Co. KG","Osnabrück, Germany",2023-03-04
1343,"Heavy Data GmbH","Oberursel, Germany",2023-03-04
1344,"Haulotte Group","Lorette, France",2023-03-07
1345,"PRIGNITZ Mikrosystemtechnik GmbH","Wittenberge, Germany ",2023-03-16
1346,"Einboeck GmbH","Dorf an der Pram, Austria",2023-03-16
1347,"Munckhof Fruit Tech Innovators","Horst, The Netherlands",2023-03-16
1348,"Radian IoT, Inc.","Okauche, WI   USA",2023-03-16
1349,"ANNABURGER Nutzfahrzeug GmbH","Annaburg, Germany",2023-03-21
1350,AGRONETIC,"Liege, Belgium",2023-03-21
1351,"Motorenfabrik Hatz GmbH & Co. KG","Ruhstorf, Germany",2023-03-29
1352,"NISHIYAMA Corporation","Tokyo, Japan",2023-03-29
1353,"Ocean LED Marine Ltd","Hinkley, Leicestershire   UK",2023-04-09
1354,"Técnicas de Electrónica y Automatismos, S.A.","Barcelona, Spain",2023-04-22
1355,"DROP Agricultura Ltda","Piracicaba, Brazil",2023-04-22
1356,"Nordic Lights Ltd","Jakobstad, Finland",2023-04-22
1357,TireCheck,"Heidenheim, Germany",2023-05-07
1358,"Fontaine Fifth Wheel","Jasper, AL  USA",2023-05-07
1359,BlueNav,"Arcachon, France",2023-05-07
1360,"Lemca Vision","Glabais, Belgium",2023-05-07
1361,"Nantong Saiyang Electronics Co., Ltd.","Nantong, China",2023-05-18
1362,"Zparq AB","Stockholm, Sweden",2023-05-18
1363,"Calix AB","Eskilstuna, Sweden",2023-05-18
1364,"Yashu Systems","Archbald, PA   USA",2023-06-02
1365,"JVCKENWOOD Corporation","Kanagawa, Japan",2023-06-02
1366,"Telemecanique Sensors & Switches","Rueil-Malmaison, France",2023-06-16
1367,"Dewulf NV","Roeselare, Belgium",2023-06-25
1368,"RAD Propulsion Ltd","Sarisbury Green, Southampton   UK",2023-06-25
1369,"Electric Yacht","Golden Valley, MN   USA",2023-06-25
1370,"Emtech S.A.","Bahia Blanca, Buenos Aires   Argentina",2023-08-04
1371,"First Mode","Seattle, WA   USA",2023-06-25
1372,"Elco Motor Yachts","Shelton, CT   USA",2023-06-30
1373,"Centek Industries","Thomasville, GA   USA",2023-07-06
1374,"CASAPPA S.p.A.","Parma, Italy",2023-07-06
1375,"ŠKODA ELECTRIC a.s.","Plzeň, Czech republic",2023-08-14
1376,"SUNS International, LLC","Chelmsford, MA   USA",2023-07-06
1377,"ABD Solutions","Bradford on Avon, Wiltshire   UK",2023-07-24
1378,"Bertini SA","Rosario, Santa Fe   Argentina",2023-07-24
1379,"Novag SAS","Fressines, France",2023-07-24
1380,"ADVES GmbH & Co. KG","Goldenstedt, Germany",2023-07-24
1381,"Dr. Diesel Technologies","Murrieta, CA   USA",2023-07-24
1382,"Thornwave Labs Inc.","Youngsville, NC   USA",2023-07-24
1383,"Alpego S.p.A.","Lonigo, Italy",2023-07-24
1384,"Tecnoseal Foundry S.r.l.","Grosseto, Italy",2023-07-24
1385,"Pro Charging Systems, LLC","La Vergne, TN   USA",2023-07-24
1386,"Smart Eye AB","Gothenburg, Sweden",2023-07-24
1387,"Radel (Pty) Ltd","Olivedale, South Africa",2023-07-31
1388,"Nira Technology","Eskisehir, Turkey",2023-08-15
1389,"EVEX Co., LTD","Busan, Republic of Korea",2023-08-23
1390,"FJ Dynamics International Limited","Shenzhen, China",2023-08-23
1391,AriensCo,"Brillion, WI   USA",2023-08-29
1392,"Phoenix America LLC","Fort Wayne, IN   USA",2023-08-29
1393,"Powerland Technology Inc","Nanjing, China",2023-08-29
1394,"Zhejiang Ruixing Electromechanical Technology Co., Ltd.","Zhejiang, China",2023-09-15
1395,"MLB Industrial","Arundel, QLD  Australia",2023-09-15
1396,"Fast Ag Solutions, LLC","Windom, MN   USA",2023-10-04
1397,"SaMASZ Sp. Z o.o.","Zabludow, Poland",2023-10-04
1398,"Gobius Sensor Technology AB","Ellös, Sweden",2023-10-12
1399,"Hans Brantner & Sohn Fahrzeugbaugesellschaft mbH","Laa an der Thaya, Austria",2023-10-12
1400,"IWN GmbH & Co. KG","Bielefeld, Germany",2023-10-12
1401,"ROM Communications Inc.","Kelowna, BC   Canada",2023-10-12
1402,"ComNav Technology Ltd.","Shanghai, China",2023-10-20
1403,"Arco Marine","Pensacola, FL   USA",2023-10-23
1404,"BRUSA HyPower AG","Buchs, Switzerland",2023-10-31
1405,"TELIG Electronics","Passo Fundo, Brazil",2023-11-03
1406,"Lumilex ALT SRL","Baicoi, PH   Romania",2023-11-08
1407,Open-Agriculture,"Gescher, Germany",2023-11-10
1408,"Lenco Marine Inc.","Stuart, FL   USA",2023-11-13
1409,"Z Elektronika Kft.","Pécs, Hungary",2023-12-04
1410,"Allan Equipment Manufacturing Ltd.","York, PE  Canada",2023-12-04
1411,"Shanghai Huace Navigation Technology Ltd.","Shanghai, China",2023-12-04
1412,"Naocontrol S.L.","A Coruña, Spain",2023-12-20
1413,"OHNOH2O LLC","Lake Worth, FL   USA",2023-12-20
1414,"INTRACOM DEFENSE S.A.","Koropi, Greece",2023-12-21
1415,"Máquinas Agrícolas Jacto S.A.","Pompéia, São Paulo, Brazil",2024-01-04
1416,"Wavetronix LLC","Springville, UT   USA",2024-01-04
1417,"Revatek LLC","Menomonee Falls, WI   USA",2024-01-07
1418,"Karluna Engineering","İzmir, Turkey",2024-01-07
1419,"iPatch Marine","Camberwell, Australia",2024-01-11
1420,"TALOS - Precision Measurement Technologies","Clearwater, FL   USA",2024-01-11
1421,"Clarios, LLC","Glendale, WI   USA",2024-01-11
1422,"xTCU AG","Vaduz, Liechtenstein",2024-01-11
1423,"AC S.A.","Bialystok, Poland",2024-01-11
1424,Bewis,"Wuxi, China",2024-05-07
1425,"Electronics in Agriculture, School of Engineering, University of Galway","Galway, Ireland",2024-01-26
1426,"Samson Group","Viborg, Denmark",2024-02-01
1427,"REITER RESPIRO","Hofkirchen an der Trattnach, Austria",2024-02-11
1428,"Samo Maschinenbau GmbH","Ottnang am Hausruck, Austria",2024-02-12
1429,"Nikola Corporation","Phoenix, AZ   USA",2024-02-13
1430,"Mantracourt Electronics Ltd","Exeter, Devon  UK",2024-02-13
1431,"Nauto Inc.","Sunnyvale, CA  USA",2024-03-13
1432,"MDH Defence Ltd.","Amesbury, Wiltshire  UK",2024-03-13
1433,"Unicontrol ApS","Odense, Denmark",2024-03-13
1434,"eSurvey GNSS Ltd.","Shanghai, China",2024-03-13
1435,"Heilongjiang Huida Technology Co., Ltd","Harbin, Hei long jiang, China",2024-03-13
1436,M-extend,"Acigné, France",2024-03-13
1437,"DOKEN Technology Co. Ltd.","Konya, Turkey",2024-03-13
1438,Aeolionics,"Mercer Island, WA  USA",2024-03-14
1439,"PredictWind Ltd","Port England, Auckland, New Zealand",2024-03-13
1440,"Egis Mobile Electric","Bellingham, WA  USA",2024-03-14
1441,"Shanghai Allynav Technology Co.,Ltd.","Shanghai, China",2024-03-14
1442,"EVYTRA GmbH","Villingen-Schwenningen, BW, Germany",2024-04-17
1443,"SoilEssentials Limited","Brechin, Angus, UK",2024-04-17
1444,"Micropower Group","Växjö, Småland, Sweden",2024-04-17
1445,"Starboard Yacht Group","Dania Beach, FL",2024-04-17
1446,"Roswell Marine","Rockledge, FL",2024-04-17
1447,"Innotag Distributions Inc.","Beloeil, Quebec, Canada",2024-04-17
1448,"Elmer's Manufacturing","Altona, Manitoba, Canada",2024-04-17
1449,"Bontaz Centre","Marnaz, France",2024-04-17
1450,Agrivaux,"Charleroi, France",2024-04-17
1451,"Guangdong ePropulsion Technology Ltd.","Guangdong Province, MD, China",2024-04-17
1452,"Micro-Air LLC","Hamilton, NJ  USA",2024-04-17
1453,"Vital Battery","Taylors Beach, NSW, Australia",2024-04-17
1454,"QTIS B.V.","	Sliedrecht, The Netherlands",2024-05-07
1455,"Eberspächer Climate Control Systems International GmbH","	Esslingen, Germany",2024-05-07
1456,"Krampe Fahrzeugbau GmbH","	Coesfeld, North Rhine Westphalia, Germany",2024-05-07
1457,"Albach Maschinenbau AG","	Vohburg, Bayer, Germany",2024-05-07
1458,"RideController LLC","Kansas City, MO  USA",2024-06-14
1459,"Advanced Input Systems","Coeur d'Alene, ID  USA",2024-06-14
1460,"Tocaro Blue","Pensacola, FL  USA",2024-06-14
1461,"Vanquish Yachts","Marknesse, The Netherlands",2024-06-14
1462,"Trackunit ApS","Aalborg, Denmark",2024-06-14
1463,"STOK Electric","Lieshout, Noord-Brabant, The Netherlands",2024-06-14
1464,"Hi-Target Surveying Instrument Co., Ltd.","Guangzhou, Guangdong, China",2024-07-01
1465,Watteco,"Lanester, Brittany, France",2024-07-01
1466,"Sveaverken Svea Agri AB","Katrineholm, Sweden",2024-07-01
1467,"S.A.E.T. s.r.l.","Costigliole Saluzzo, Italy",2024-07-01
1468,Senquip,"Taylors Beach, NSW, Australia",2024-08-02
1469,"LS Mtron","Wanju-gun, Jeollabuk-do, Republic of Korea",2024-08-02
1470,"GemOne NV","Waregem, Belgium",2024-08-02
1471,"FT Technologies","Sunbury on Thames, UK",2024-08-02
1472,"Acculon Energy","Columbus, OH USA",2024-09-16
1473,"Cranesmart Systems, Inc.","Edmonton, Alberta, Canada",2024-09-16
1474,"Calex Electronics Limited","Leighton Buzzard, Bedfordshire, UK",2024-09-16
1475,"DSP Solutions, Inc.","Oxnard, CA USA",2024-09-16
1476,"Wilhelm Stoll Maschinenfabrik GmbH","Lengede, Germany",2024-09-16
1477,TOBROCO-GIANT,"Oisterwijk, The Netherlands",2024-09-16
1478,"Alps Alpine Co., Ltd.","Tokyo, Japan",2024-09-16
1479,A-Electronix,"Nybrostrand, Skane, Sweden",2024-09-16
1480,"Thermo King","Bloomington, MN  USA",2024-10-14
1481,"E-Force Marine","Miami Gardens, FL  USA",2024-10-14
1482,"CMC Marine","Milano, Italy",2024-10-14
1483,"Nanjing Sandemarine Information Technology Co., Ltd.","Nanjing, Jiangsu Providence, China",2024-10-14
1484,AgroOSA,"Robakowo, WLKP, Poland",2024-11-09
1485,"Lester Electrical","Lincoln, NE USA",2024-11-09
1486,Xpanner,"Seoul, South Korea",2024-11-09
1487,Geosoft,"Seoul, South Korea",2024-11-09
1488,"Boetkin Technology Co., LTD","Dongguan City, Guangdong Province, China",2024-11-09
1489,"Lite-Check LLC","Spokane, WA USA",2024-11-09
1490,"Clean Republic SODO, LLC","Seattle, WA USA",2024-11-09
1491,"Power Pollen","Ames, IA  USA",2024-11-09
1492,Softivert,"Gabaston, France",2024-11-09
1493,"Jantop Oy","Vieremä, Finland",2024-11-09
1494,RAPITRONICS,"Makoszyn, Poland",2025-01-09
1495,FlyAgData,"Zielona Góra, Poland",2025-01-06
1496,AgriRobot,"Kongens Lyngby, Denmark",2025-01-06
1497,"ERMO Spa","Casalbuttano ed Uniti, Italy",2025-01-06
1498,"PM Pfanzelt Maschinenbau GmbH","Rettenbach, Germany",2025-01-06
1499,"Hydrasystem SP. Z O.O.","Janki, Poland",2025-01-06
1500,"Scanstrut Inc.","Westbrook, CT  USA",2025-01-06
1501,"Reverso Pumps LLC","Davie, FL  USA",2025-01-06
1502,Barantech,"Kiriyat Gat, Israel",2025-01-06
1503,"Rosemount Specialty Products","East Wenatchee, WA  USA",2025-01-06
1504,"Nimbus Power Systems, Inc.","Groton, CT  USA",2025-01-06
1505,"BC Motion","Saginaw, MN  USA",2025-01-06
1506,Expion360,"Redmond, OR  USA",2025-02-11
1507,"Apex.AI, Inc.","Palo Alto, CA  USA",2025-02-11
1508,"Xwatch Safety Solutions Ltd. part of Hexagon","Three Legged Cross, Wimborne, UK",2025-02-11
1509,"Bondioli & Pavesi","Suzzara, MN, Italy",2025-02-11
1510,"Austin Motor Works","Austin, TX  USA",2025-02-11
1511,"APATOR METRA s.r.o.","Sumperk, Czech Republic",2025-02-11
1512,"Lumitec LLC","Delray Beach, FL  USA",2025-02-11
1513,"Sy-Klone International","Jacksonville, FL  USA",2025-02-11
1514,SYMX.ai,"Sudbury, Ontario, Canada",2025-02-11
1515,"Ingeniería y Sistemas Cerea","Valladolid, Castilla y León, Spain",2025-02-11
1516,"THERMIS spol. s r.o.","Brno, Czech Republic",2025-02-11
1517,"Daedong Corporation","Daegu, South Korea",2025-02-11
1518,"Nova Kool Manufacturing ULC","Coquitlam, BC, Canada",2025-04-09
1519,"Volboff Electron Science and Technology Co., Ltd.","Minhang District, Shanghai, China",2025-04-25
1520,"SRT Marine Systems PLC","Bath, UK",2025-04-09
1521,Agricolmeccanica,"Torviscosa, Udine, Italy",2025-04-09
1522,"American Thermal Instruments","Dayton, OH USA",2025-04-09
1523,"Carlson Software","Maysville, KY USA",2025-04-09
1524,"Ocean Infinity Solutions Limited","London, UK",2025-04-09
1525,Emsiso-emDrive,"Pesnica pri Mariboru, 	Slovenia",2025-04-09
1526,"MITSUBISHI MAHINDRA AGRICULTURAL MACHINERY CO.,LTD.","Matsue, Shimane, Japan",2025-04-09
1527,"Richardt Steuer- und Regelgeraete GmbH","Oberaula, 	Germany",2025-04-09
1528,"Savant Technology","Casper, WY USA",2025-04-09
1529,"Industrie Elektronik Brilon GmbH","Brilon, NRW, Germany",2025-04-09
1530,"Roelama B.V.","Alphen, Noord-Brabant, The Netherlands",2025-04-09
1531,"Kobelco Construction Machinery Co.,Ltd.","Hiroshima, Japan",2025-04-09
1532,"E-Switch, Inc.","Brooklyn Park, MN USA",2025-04-09
1533,"Rieker Inc.","Aston, PA USA",2025-04-09
1534,BluVein,"Northgate, Queensland, Australia",2025-04-09
1535,"LOX Container Technology AB","Stockholm, Sweden",2025-04-09
1536,"Tatra Trucks a.s.","Koprivnice, Czech Republic",2025-04-09
1537,"Anyload Weigh & Measure Inc.","Bournaby, BC, Canada",2025-04-25
1538,"Quick S.p.A.","Piangipane - Ravenna, Italy",2025-04-25
1539,"Ceday Information Technologies","Izmir, Bornova, Turkey",2025-04-25
1540,"Ideas & Motion","Cherasco (CN), Italy",2025-04-25
1541,"Solid State Marine","West Bridgewater, MA USA",2025-04-25
1542,"Global Digital Instruments","Fairport, NY USA",2025-04-25
1543,"GT Joysticks AG","Bruegg, BE, Switzerland",2025-04-25
1544,"Geophysical Survey Systems, Inc.","	Nashua, NH, USA",2025-05-09
1545,RoadEazy,"Sunnyvale, CA USA",2025-05-09
1546,ESMART,"Indianapolis, IN USA",2025-05-09
1547,"Weichai Lovol Intelligent Agricultural Technology Co., Ltd.","Weifang City, Shandong Province, China",2025-06-16
1549,"AM Co., Ltd.","Gwacheon-si, Gyeonggi-do, South Korea",2025-05-09
1550,"Mario Tanzi S.A.","Arequito, Santa Fe, Argentina",2025-05-09
1551,"LMCE Group","Loimaa, Finland",2025-05-09
1552,"Antoniosi Tecnologia Agroindustrial Ltda","Matão, São Paulo, Brasil",2025-06-16
1553,"Boughton Engineering LTD","Wolverhampton, West Midlands, UK",2025-06-16
1554,"Frigus AB","Gothenburg, Sweden",2025-06-16
1555,Safiery,"Arundel, Australia",2025-06-16
1556,"B. Kaufmann AG Landmaschinen","6246 Altishofen, Switzerland",2025-06-16
1557,"Interfacom S.A.U.","Barcelona, Spain",2025-06-16
1558,"Intangles Lab Private Limited","Pune, Maharashtra, India",2025-06-16
1559,"Kar-Tech, Inc.","Delafield, WI, USA",2025-06-16
1560,"MACOME CORPORATION","Kami-ina, Nagano, Japan",2025-06-16
1561,"Fox Marine","Rising Sun, MD, USA",2025-06-16
1562,"Kingsat Communications Co., Ltd","HuangGe Town, NanSha District, Guangzhou, China",2025-06-16
1563,"Wabtec Graham White","Salem, VA, USA",2025-08-01
1564,"Pro-Guide Batteries","Golden, MO, USA",2025-08-01
1565,"Livemac Co., Ltd.","Jeonbuk, South Korea",2025-08-01
1566,OUTSET,"Sandrigo, Vicenza, Italy",2025-08-01
1567,"Hagedorn Software Engineering GmbH","Warendorf, Germany",2025-08-01
1568,Aigro,"Best, Noord-Brabant, The Netherlands",2025-08-01
1569,"621 Technologies Inc.","Petrolia, ON   Canada",2019-10-02
1570,"Unverferth Manufacturing Company Inc.","Kalida, OH, USA",2025-08-01
1571,"Super B","Hengelo, Overijssel, Netherlands",2025-08-01
1572,"SMARTLINE Co., Ltd.","Seoul, South Korea",2025-08-01
1573,"R.H. Sheppard","Hanover, PA, USA",2025-08-04
1574,"SIGMA4 SRL","Russi, Italy",2025-08-12
1575,DieselHeat,"Cygnet, Tasmania, Australia",2025-08-12
1576,"RB International S.r.l.","Città Di Castello, Italy",2025-08-12
1577,"Ironstone AG","Toodyay, WA, Australia",2025-08-12
1579,"Hydro Engineering","Norwood Young America, MN, USA",2025-09-11
1585,"Qianxun Spatial Intelligence (Zhejiang) Inc.","Huzhou, Zhejiang, China",2025-09-11
1586,"XAG CO., LTD.","Guangzhou, Guangdong, China",2025-09-11
1850,"Seastar Solutions (formerly Teleflex)","Litchfield, IL",2021-08-26
1851,RayMarine,"Portsmouth, Hampshire  UK",2003-07-20
1852,Navionics,"Wareham, MA  USA",2003-07-20
1853,"Japan Radio Co","Seattle, WA  USA",2003-07-20
1854,"Northstar Technologies","Acton, MA  USA",2003-07-20
1855,"Furuno USA","Camas, WA  USA",2003-07-20
1856,Trimble,"Sunnyvale, CA  USA",2003-07-20
1857,Simrad,"Egersund, Norway",2003-07-20
1858,Litton,"Charlottesville, VA  USA",2003-07-20
1859,"Kvasar AB","Kinnahult, Sweden",2003-07-20
1860,MMP,"Fircrest, WA  USA",2003-07-20
1861,"Vector North America (formerly Vector Cantech)","Novi, MI  USA",2018-01-23
1862,Sanshin,"Shizuoka, Japan",2003-07-20
1863,"Thomas G. Faria Co.","Uncasville, CT  USA",2003-07-20
